issueId,pos,neg,reaction_pos,reaction_neg,reaction
102540786,2,-2,14,0,14
98305998,3,-2,35,3,32
97530644,2,-1,10,0,10
95537598,2,-1,17,0,17
94174098,2,-1,81,0,81
92222851,2,-2,13,0,13
89160582,2,-3,90,0,90
86599407,3,-2,41,0,41
85577695,1,-1,21,0,21
70825767,3,-2,10,0,10
67554703,3,-2,23,0,23
58702203,1,-1,24,0,24
58504279,2,-2,35,0,35
56740566,1,-2,14,0,14
56088839,2,-2,21,0,21
55367942,2,-2,12,0,12
324403942,3,-2,32,0,32
306216625,3,-2,15,0,15
298978549,4,-2,15,0,15
296338036,4,-2,24,0,24
272034397,2,-2,21,0,21
270571251,2,-1,15,0,15
233681321,4,-2,58,0,58
180419826,2,-2,15,0,15
172799139,2,-2,10,0,10
160110302,3,-1,15,4,11
345562783,2,-2,57,0,57
324726210,2,-1,84,0,84
320529676,3,-3,21,0,21
318054408,4,-4,13,0,13
316531081,4,-1,13,0,13
307409050,2,-2,64,0,64
304493955,2,-2,138,0,138
303755774,4,-3,10,0,10
300720522,2,-1,15,0,15
300153426,2,-3,599,0,599
298805135,1,-2,11,0,11
296889732,3,-2,15,0,15
293164909,2,-1,10,3,7
292549809,2,-1,30,0,30
290993386,3,-1,30,0,30
290821502,2,-2,10,0,10
290293666,3,-4,21,0,21
290213666,3,-2,167,0,167
288975124,4,-3,698,0,698
288386529,1,-1,12,0,12
288361099,2,-2,41,3,38
287637053,2,-1,57,0,57
287071466,2,-2,191,0,191
286925890,1,-2,58,0,58
286512442,4,-3,15,0,15
285555542,3,-1,18,0,18
285504155,1,-1,60,0,60
285147334,1,-4,17,0,17
278993779,2,-3,12,0,12
277616195,2,-3,35,0,35
271305500,2,-2,18,0,18
271270566,4,-3,11,0,11
261154825,2,-2,13,3,10
261039842,2,-2,14,0,14
260817198,1,-2,60,0,60
260764110,1,-1,16,6,10
257616752,2,-2,24,0,24
254079539,2,-2,19,0,19
252855790,3,-1,16,0,16
250649765,2,-3,23,0,23
248151122,2,-2,207,0,207
243900266,2,-1,210,3,207
242791051,2,-2,81,0,81
242565644,4,-3,16,0,16
241719708,1,-1,12,0,12
241589687,2,-2,10,0,10
240893177,2,-2,142,0,142
240878382,1,-1,11,0,11
240134266,1,-1,19,0,19
238792117,2,-2,14,0,14
237073412,1,-2,25,0,25
236704326,2,-3,24,0,24
236662957,2,-2,10,0,10
236032076,2,-2,10,0,10
234406051,3,-2,34,0,34
234254563,1,-3,16,0,16
233433293,1,-1,10,0,10
232818481,2,-2,24,0,24
231876449,2,-2,153,129,24
231117879,3,-2,15,0,15
230928408,3,-2,14,0,14
230876873,2,-2,66,0,66
230697288,2,-1,31,0,31
230496376,2,-1,14,0,14
230267282,2,-2,68,0,68
230189639,2,-2,227,0,227
230144978,2,-2,340,0,340
230126676,4,-4,119,0,119
229551563,2,-1,121,0,121
228965079,2,-3,234,0,234
228679952,1,-1,34,0,34
227519687,2,-3,10,0,10
226669246,2,-4,52,0,52
222994329,2,-1,101,0,101
220077670,2,-2,11,0,11
218291435,2,-2,25,0,25
216445414,1,-2,13,0,13
215280975,2,-1,19,0,19
213526990,2,-1,31,0,31
213502101,2,-1,13,0,13
213076258,1,-1,10,0,10
212958637,2,-2,34,0,34
212605128,3,-1,29,0,29
211988184,2,-1,34,0,34
211975188,1,-2,28,0,28
211936273,1,-1,13,0,13
210237174,2,-1,19,0,19
208629549,1,-1,23,0,23
207974456,1,-2,16,0,16
207678957,1,-1,12,0,12
205738023,3,-2,139,0,139
203457212,1,-2,12,0,12
201564253,2,-2,18,0,18
200474959,3,-2,67,0,67
199235811,1,-1,31,0,31
199144659,2,-1,36,0,36
198453988,1,-2,16,0,16
198280702,2,-2,24,0,24
198034785,3,-3,10,0,10
196366212,2,-2,13,0,13
196298133,1,-3,11,3,8
196297011,2,-2,24,0,24
196128063,3,-2,12,0,12
195725422,1,-2,15,0,15
194873538,2,-2,61,0,61
194658707,3,-1,28,0,28
194648750,3,-2,11,0,11
194062133,3,-1,21,0,21
193904887,2,-2,16,0,16
193366252,3,-2,132,0,132
193165268,3,-3,11,0,11
192802875,2,-3,24,2,22
191789320,2,-2,88,3,85
191749975,2,-1,14,0,14
191217489,3,-2,37,0,37
190886549,1,-1,16,0,16
190589610,1,-2,70,0,70
190589164,2,-2,11,0,11
190572513,2,-1,42,3,39
187310486,1,-2,12,0,12
187290407,2,-4,39,0,39
185375859,2,-3,17,0,17
184265273,1,-2,12,0,12
183633894,2,-1,10,0,10
183217218,3,-2,14,0,14
182634873,2,-1,28,0,28
182317324,1,-1,50,0,50
182265932,2,-2,54,0,54
181779858,2,-2,57,0,57
181708499,3,-3,14,0,14
181468513,2,-1,18,0,18
180460861,2,-2,31,0,31
180405660,1,-1,33,0,33
180054980,2,-1,14,0,14
179798389,2,-3,24,0,24
179496977,4,-3,38,0,38
